                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.94709,                 0.5438,                 1.0544,                0.90771,                0.84091,                0.88902,                0.54298,                 1.4593,                0.70058,                 1.4296,             0.00065152,             0.00065152,             0.00065152
                      2,                0.90565,                0.51298,                 1.0167,                0.83823,                0.86364,                0.85193,                0.52493,                 1.4783,                0.76244,                 1.4785,              0.0012921,              0.0012921,              0.0012921
                      3,                0.97419,                0.59563,                 1.0733,                0.82891,                0.81818,                0.85444,                0.48752,                 1.5607,                0.80914,                 1.4881,              0.0019062,              0.0019062,              0.0019062
                      4,                0.98182,                0.59606,                 1.0818,                0.82354,                0.84863,                0.84992,                 0.4244,                  1.631,                0.77638,                 1.5539,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.0045,                0.61201,                 1.0889,                0.87547,                0.86364,                0.87592,                0.47987,                 1.5893,                0.72767,                 1.5709,              0.0018416,              0.0018416,              0.0018416
                      6,                0.98011,                0.58921,                 1.0506,                0.84536,                0.84091,                 0.8601,                0.46774,                 1.6162,                0.81509,                 1.5622,               0.001802,               0.001802,               0.001802
                      7,                0.98614,                0.55343,                 1.0327,                0.82973,                0.88598,                0.87197,                0.47872,                 1.6098,                0.72874,                 1.4836,              0.0017624,              0.0017624,              0.0017624
                      8,                0.92894,                0.56021,                 1.0331,                0.84442,                 0.8635,                0.87365,                 0.5093,                 1.5331,                0.72565,                 1.5191,              0.0017228,              0.0017228,              0.0017228
                      9,                0.86017,                0.61385,                  0.998,                0.87763,                0.81818,                0.87964,                0.51802,                 1.4612,                0.78996,                 1.4842,              0.0016832,              0.0016832,              0.0016832
                     10,                0.87424,                0.60027,                 1.0215,                0.92817,                0.81818,                  0.901,                0.52303,                 1.4206,                0.82505,                 1.4285,              0.0016436,              0.0016436,              0.0016436
                     11,                0.88275,                0.55078,                 1.0162,                0.85823,                0.84091,                0.86925,                0.50962,                  1.434,                0.73375,                 1.3759,               0.001604,               0.001604,               0.001604
                     12,                0.95724,                0.54696,                 1.0284,                0.82897,                0.86364,                0.84406,                0.50137,                 1.5588,                 0.7619,                 1.4279,              0.0015644,              0.0015644,              0.0015644
                     13,                0.94724,                0.57757,                 1.0214,                0.83735,                0.84091,                0.86155,                 0.4841,                  1.528,                0.72431,                 1.4481,              0.0015248,              0.0015248,              0.0015248
                     14,                0.90734,                0.54096,                0.99305,                0.87378,                0.84091,                 0.8908,                0.54711,                 1.4069,                0.70227,                 1.4264,              0.0014852,              0.0014852,              0.0014852
                     15,                0.86801,                0.53217,                0.99563,                0.77797,                0.90909,                0.88281,                0.53801,                 1.3568,                0.72962,                 1.4315,              0.0014456,              0.0014456,              0.0014456
                     16,                  0.824,                0.50887,                0.97206,                0.80283,                0.92547,                0.88776,                0.53243,                 1.4508,                0.72033,                 1.5043,               0.001406,               0.001406,               0.001406
                     17,                0.83424,                0.50041,                 1.0013,                0.84615,                0.90909,                 0.9003,                0.53055,                 1.4346,                0.71405,                 1.5124,              0.0013664,              0.0013664,              0.0013664
                     18,                0.85673,                0.49349,                 1.0131,                0.79208,                0.88636,                0.86123,                0.53764,                 1.4352,                 0.7274,                 1.4694,              0.0013268,              0.0013268,              0.0013268
                     19,                0.78284,                0.47618,                 1.0092,                0.79653,                0.88636,                0.89754,                0.52095,                 1.4657,                0.73782,                 1.4495,              0.0012872,              0.0012872,              0.0012872
                     20,                0.81554,                0.47321,                0.99613,                0.86008,                0.83826,                0.90455,                0.54586,                 1.3984,                0.71329,                 1.4068,              0.0012476,              0.0012476,              0.0012476
                     21,                0.81228,                0.46794,                 1.0241,                0.91628,                0.84091,                0.90362,                0.56794,                 1.4034,                 0.6646,                 1.4543,               0.001208,               0.001208,               0.001208
                     22,                0.78395,                0.46572,                0.98008,                0.82651,                0.88636,                0.89183,                0.55358,                 1.4267,                0.67859,                 1.4959,              0.0011684,              0.0011684,              0.0011684
                     23,                0.77842,                0.45751,                0.97791,                0.86076,                0.84301,                0.89729,                0.51925,                 1.4981,                0.68637,                   1.51,              0.0011288,              0.0011288,              0.0011288
                     24,                0.75664,                0.45492,                 1.0043,                0.82939,                0.88393,                0.88801,                0.53623,                 1.4595,                0.68841,                 1.4796,              0.0010892,              0.0010892,              0.0010892
                     25,                0.77784,                0.45939,                0.98542,                0.86362,                0.86354,                0.90051,                0.54415,                 1.4677,                0.64782,                 1.4761,              0.0010496,              0.0010496,              0.0010496
