                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  0.892,                 0.5679,                0.98061,                0.90803,                0.93182,                0.91819,                0.47459,                 1.6508,                0.75533,                  1.467,              0.0006536,              0.0006536,              0.0006536
                     36,                0.86561,                0.56404,                0.96966,                 0.8883,                0.90375,                0.91854,                 0.5269,                 1.4787,                0.72787,                 1.3353,               0.000614,               0.000614,               0.000614
                     37,                0.84518,                0.55389,                0.95397,                0.92092,                0.84091,                0.92175,                0.52942,                 1.5587,                0.71852,                  1.389,              0.0005744,              0.0005744,              0.0005744
                     38,                0.85151,                0.55154,                0.96848,                0.89443,                0.84091,                0.91517,                0.52516,                 1.5768,                0.76631,                 1.3703,              0.0005348,              0.0005348,              0.0005348
                     39,                0.83996,                 0.5353,                0.96529,                 0.9266,                0.86083,                 0.9152,                0.52383,                  1.494,                0.72264,                 1.3618,              0.0004952,              0.0004952,              0.0004952
                     40,                0.80513,                0.50704,                0.94862,                0.92633,                0.85739,                0.91934,                0.53375,                 1.5176,                  0.698,                 1.4044,              0.0004556,              0.0004556,              0.0004556
                     41,                 1.2593,                 0.7019,                 1.1728,                0.93326,                0.84091,                0.90487,                0.50368,                 1.5414,                0.71858,                  1.418,               0.000416,               0.000416,               0.000416
                     42,                 1.1843,                0.67992,                 1.1123,                0.86785,                0.89568,                0.91646,                 0.5256,                  1.504,                0.76001,                 1.3503,              0.0003764,              0.0003764,              0.0003764
                     43,                 1.1802,                0.67052,                  1.105,                0.87189,                0.92809,                0.91777,                 0.5359,                  1.457,                0.68329,                 1.2853,              0.0003368,              0.0003368,              0.0003368
                     44,                 1.1758,                0.66334,                  1.099,                0.94539,                0.81818,                 0.9183,                 0.5398,                 1.4909,                 0.7106,                 1.3348,              0.0002972,              0.0002972,              0.0002972
                     45,                 1.2021,                0.65437,                  1.097,                0.91016,                0.88636,                0.92499,                 0.5471,                 1.4787,                0.68835,                 1.2954,              0.0002576,              0.0002576,              0.0002576
                     46,                 1.1397,                0.62808,                 1.0736,                0.86983,                0.91128,                0.92517,                0.53337,                 1.4917,                0.69209,                  1.298,               0.000218,               0.000218,               0.000218
                     47,                 1.1545,                0.62357,                 1.0892,                0.92569,                0.84953,                0.92424,                0.54428,                 1.4999,                0.69703,                 1.3058,              0.0001784,              0.0001784,              0.0001784
                     48,                 1.1011,                0.59835,                 1.0486,                0.92516,                0.84294,                0.92619,                0.53047,                 1.5188,                 0.6709,                  1.325,              0.0001388,              0.0001388,              0.0001388
                     49,                  1.105,                0.61419,                 1.0463,                0.94924,                0.85025,                0.92567,                0.54031,                 1.5288,                0.66812,                 1.3279,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                 1.0995,                0.58983,                 1.0599,                0.94947,                0.85433,                0.92572,                 0.5368,                 1.5432,                0.67015,                 1.3215,               5.96e-05,               5.96e-05,               5.96e-05
