                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6091,                 1.7371,                 1.3151,                0.43583,                    0.5,                0.43766,                0.21283,                 1.5819,                 3.6657,                 1.3274,             0.00065152,             0.00065152,             0.00065152
                      2,                 1.4357,                 1.2851,                  1.235,                0.85352,                0.61364,                0.72237,                0.32951,                 1.7164,                 2.0364,                 1.4124,              0.0012921,              0.0012921,              0.0012921
                      3,                 1.4855,                 1.1301,                 1.2998,                0.06858,                0.65909,                0.05668,                0.02153,                 1.9313,                 11.249,                 1.7654,              0.0019062,              0.0019062,              0.0019062
                      4,                 1.7136,                 1.1686,                 1.3702,                0.22503,                0.72727,                0.18928,                0.08427,                 1.7764,                 4.1554,                 1.5942,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.5738,                 1.1499,                 1.3236,                0.77904,                0.72727,                0.75824,                0.35875,                  1.741,                 1.4852,                 1.5035,              0.0018416,              0.0018416,              0.0018416
                      6,                 1.4137,                 0.9554,                 1.2258,                 0.8181,                    0.5,                0.66114,                0.35596,                 1.7021,                 1.4921,                 1.4748,               0.001802,               0.001802,               0.001802
                      7,                 1.4946,                0.94083,                 1.2467,                0.85185,                0.72727,                0.77074,                0.42504,                 1.6634,                 1.0311,                 1.5508,              0.0017624,              0.0017624,              0.0017624
                      8,                 1.4082,                 0.9396,                 1.1967,                0.79022,                0.77054,                0.83187,                0.44571,                 1.6196,                 1.0047,                 1.4718,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.2683,                0.86049,                 1.1815,                0.72907,                0.84091,                 0.8597,                0.43254,                 1.6759,                0.94135,                 1.5103,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.2464,                0.88649,                 1.1861,                0.81531,                0.90308,                0.89485,                 0.4598,                 1.6234,                0.88248,                 1.4699,              0.0016436,              0.0016436,              0.0016436
                     11,                 1.2459,                0.81598,                 1.1774,                0.85884,                0.88636,                0.90369,                0.44324,                 1.7515,                0.89735,                 1.6375,               0.001604,               0.001604,               0.001604
                     12,                 1.3219,                0.80322,                 1.1623,                0.83203,                0.90075,                0.88394,                0.41121,                 1.7667,                0.98671,                 1.5436,              0.0015644,              0.0015644,              0.0015644
                     13,                 1.3574,                0.79484,                 1.1757,                0.89573,                0.77273,                0.85654,                0.44793,                 1.6252,                0.99778,                  1.479,              0.0015248,              0.0015248,              0.0015248
                     14,                   1.24,                0.79961,                  1.133,                0.88067,                0.83868,                0.87023,                0.46604,                 1.6062,                0.83312,                 1.4784,              0.0014852,              0.0014852,              0.0014852
                     15,                  1.165,                0.72955,                 1.1197,                 0.9245,                0.84091,                0.91642,                0.47407,                 1.6357,                0.82413,                 1.4906,              0.0014456,              0.0014456,              0.0014456
                     16,                 1.1163,                0.70764,                 1.0753,                0.93058,                0.70455,                0.86594,                0.46837,                  1.571,                0.87714,                 1.3823,               0.001406,               0.001406,               0.001406
